GCC SIN
=======
 
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.372166 seconds
# 268.697286 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  2550	     2.02840	     0.00325
  2600	     1.87410	     0.00304
  2650	     1.74760	     0.00287
  2700	     1.62368	     0.00269
  2750	     1.50776	     0.00254
  2800	     1.39525	     0.00238
  2850	     1.29970	     0.00224
  2900	     1.20560	     0.00211
  2950	     1.12626	     0.00200
  3000	     1.04466	     0.00188
  3050	     0.97353	     0.00177
  3100	     0.90935	     0.00167
  3150	     0.84301	     0.00158
  3200	     0.78293	     0.00149
  3250	     0.73464	     0.00141
  3300	     0.68379	     0.00134
  3350	     0.63987	     0.00126
  3400	     0.59241	     0.00119
  3450	     0.55138	     0.00112
  3500	     0.51649	     0.00107
  3550	     0.48289	     0.00101
  3600	     0.44863	     0.00095
  3650	     0.41818	     0.00090
  3700	     0.38973	     0.00085
  3750	     0.36516	     0.00081
  3800	     0.34076	     0.00076
  3850	     0.31954	     0.00073
  3900	     0.29712	     0.00069
  3950	     0.27721	     0.00065
  4000	     0.25878	     0.00062
  4050	     0.24274	     0.00059
  4100	     0.22713	     0.00055
  4150	     0.21079	     0.00052
  4200	     0.19837	     0.00050
  4250	     0.18595	     0.00048
  4300	     0.17312	     0.00045
  4350	     0.16146	     0.00042
  4400	     0.15151	     0.00040
  4450	     0.14243	     0.00039
  4500	     0.13296	     0.00037
  4550	     0.12511	     0.00035
  4600	     0.11704	     0.00033
  4650	     0.10906	     0.00031
  4700	     0.10197	     0.00030
  4750	     0.09579	     0.00028
  4800	     0.08968	     0.00027
  4850	     0.08388	     0.00025
  4900	     0.07901	     0.00024
  4950	     0.07346	     0.00023
# extra	     0.02241
=======
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 38.304845 seconds
# 261.063583 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20615.08594	    17.48679
    50	  3320.12256	     2.57966
   100	  1350.14726	     0.97230
   150	   750.27199	     0.50698
   200	   485.95658	     0.31041
   250	   344.29156	     0.20917
   300	   257.82823	     0.14993
   350	   201.30387	     0.11242
   400	   161.64188	     0.08709
   450	   132.58754	     0.06920
   500	   110.58056	     0.05611
   550	    93.67975	     0.04627
   600	    80.11645	     0.03867
   650	    69.19591	     0.03271
   700	    60.28438	     0.02795
   750	    52.78509	     0.02408
   800	    46.48416	     0.02091
   850	    41.11895	     0.01827
   900	    36.53569	     0.01606
   950	    32.62440	     0.01421
  1000	    29.20543	     0.01262
  1050	    26.25868	     0.01126
  1100	    23.62271	     0.01009
  1150	    21.33118	     0.00908
  1200	    19.27759	     0.00819
  1250	    17.47823	     0.00741
  1300	    15.88866	     0.00673
  1350	    14.43198	     0.00612
  1400	    13.15523	     0.00558
  1450	    11.99779	     0.00511
  1500	    10.97408	     0.00468
  1550	    10.03962	     0.00429
  1600	     9.18125	     0.00395
  1650	     8.42126	     0.00364
  1700	     7.72183	     0.00335
  1750	     7.09706	     0.00310
  1800	     6.53500	     0.00287
  1850	     6.01313	     0.00266
  1900	     5.53885	     0.00247
  1950	     5.09877	     0.00229
  2000	     4.70261	     0.00213
  2050	     4.33559	     0.00199
  2100	     4.00172	     0.00185
  2150	     3.69626	     0.00173
  2200	     3.41491	     0.00161
  2250	     3.15755	     0.00151
  2300	     2.92248	     0.00141
  2350	     2.70923	     0.00132
  2400	     2.50680	     0.00124
  2450	     2.31917	     0.00116
  2500	     2.15291	     0.00109
  2550	     1.99596	     0.00102
  2600	     1.85510	     0.00096
  2650	     1.72079	     0.00090
  2700	     1.59621	     0.00085
  2750	     1.48385	     0.00080
  2800	     1.37964	     0.00075
  2850	     1.28295	     0.00071
  2900	     1.19298	     0.00067
  2950	     1.10776	     0.00063
  3000	     1.03072	     0.00059
  3050	     0.96055	     0.00056
  3100	     0.89354	     0.00053
  3150	     0.83164	     0.00050
  3200	     0.77358	     0.00047
  3250	     0.72089	     0.00044
  3300	     0.67134	     0.00042
  3350	     0.62607	     0.00040
  3400	     0.58281	     0.00037
  3450	     0.54500	     0.00035
  3500	     0.50901	     0.00034
  3550	     0.47380	     0.00032
  3600	     0.44321	     0.00030
  3650	     0.41348	     0.00028
  3700	     0.38624	     0.00027
  3750	     0.36045	     0.00025
  3800	     0.33683	     0.00024
  3850	     0.31408	     0.00023
  3900	     0.29303	     0.00022
  3950	     0.27401	     0.00021
  4000	     0.25618	     0.00020
  4050	     0.23926	     0.00019
  4100	     0.22357	     0.00018
  4150	     0.20856	     0.00017
  4200	     0.19552	     0.00016
  4250	     0.18247	     0.00015
  4300	     0.17112	     0.00014
  4350	     0.15983	     0.00013
  4400	     0.14978	     0.00013
  4450	     0.14009	     0.00012
  4500	     0.13128	     0.00012
  4550	     0.12297	     0.00011
  4600	     0.11507	     0.00010
  4650	     0.10760	     0.00010
  4700	     0.10104	     0.00009
  4750	     0.09454	     0.00009
  4800	     0.08850	     0.00008
  4850	     0.08275	     0.00008
  4900	     0.07780	     0.00008
  4950	     0.07276	     0.00007
# extra	     0.01605
=======
